genome_ID	azored_pa
MGYG-HGUT-00001	present
MGYG-HGUT-00002	absent
MGYG-HGUT-00003	absent
MGYG-HGUT-00004	absent
MGYG-HGUT-00005	present
MGYG-HGUT-00006	present
MGYG-HGUT-00007	present
MGYG-HGUT-00008	present
MGYG-HGUT-00009	present
MGYG-HGUT-00010	present
MGYG-HGUT-00011	present
MGYG-HGUT-00012	present
MGYG-HGUT-00013	present
MGYG-HGUT-00014	absent
MGYG-HGUT-00015	present
MGYG-HGUT-00016	present
MGYG-HGUT-00017	present
MGYG-HGUT-00018	absent
MGYG-HGUT-00019	present
MGYG-HGUT-00020	present
MGYG-HGUT-00021	present
MGYG-HGUT-00022	absent
MGYG-HGUT-00023	present
MGYG-HGUT-00024	present
MGYG-HGUT-00025	present
MGYG-HGUT-00026	absent
MGYG-HGUT-00027	present
MGYG-HGUT-00028	present
MGYG-HGUT-00029	absent
MGYG-HGUT-00030	absent
MGYG-HGUT-00031	absent
MGYG-HGUT-00032	present
MGYG-HGUT-00033	absent
MGYG-HGUT-00034	absent
MGYG-HGUT-00035	absent
MGYG-HGUT-00036	absent
MGYG-HGUT-00037	present
MGYG-HGUT-00038	absent
MGYG-HGUT-00039	absent
MGYG-HGUT-00040	present
MGYG-HGUT-00041	absent
MGYG-HGUT-00042	absent
MGYG-HGUT-00043	present
MGYG-HGUT-00044	absent
MGYG-HGUT-00045	present
MGYG-HGUT-00046	absent
MGYG-HGUT-00047	present
MGYG-HGUT-00048	absent
MGYG-HGUT-00049	present
MGYG-HGUT-00050	absent
MGYG-HGUT-00051	present
MGYG-HGUT-00052	absent
MGYG-HGUT-00053	absent
MGYG-HGUT-00054	present
MGYG-HGUT-00055	absent
MGYG-HGUT-00056	absent
MGYG-HGUT-00057	absent
MGYG-HGUT-00058	absent
MGYG-HGUT-00059	present
MGYG-HGUT-00060	absent
MGYG-HGUT-00061	present
MGYG-HGUT-00062	absent
MGYG-HGUT-00063	present
MGYG-HGUT-00064	present
MGYG-HGUT-00065	present
MGYG-HGUT-00066	present
MGYG-HGUT-00067	present
MGYG-HGUT-00068	present
MGYG-HGUT-00069	present
MGYG-HGUT-00070	present
MGYG-HGUT-00071	absent
MGYG-HGUT-00072	absent
MGYG-HGUT-00073	absent
MGYG-HGUT-00074	absent
MGYG-HGUT-00075	absent
MGYG-HGUT-00076	absent
MGYG-HGUT-00077	absent
MGYG-HGUT-00078	absent
MGYG-HGUT-00079	present
MGYG-HGUT-00080	absent
MGYG-HGUT-00081	present
MGYG-HGUT-00082	present
MGYG-HGUT-00083	present
MGYG-HGUT-00084	absent
MGYG-HGUT-00085	present
MGYG-HGUT-00086	present
MGYG-HGUT-00087	absent
MGYG-HGUT-00088	absent
MGYG-HGUT-00089	absent
MGYG-HGUT-00090	absent
MGYG-HGUT-00091	present
MGYG-HGUT-00092	absent
MGYG-HGUT-00093	present
MGYG-HGUT-00094	present
MGYG-HGUT-00095	absent
MGYG-HGUT-00096	present
MGYG-HGUT-00097	present
MGYG-HGUT-00098	present
MGYG-HGUT-00099	present
MGYG-HGUT-00100	absent
MGYG-HGUT-00101	absent
MGYG-HGUT-00102	present
MGYG-HGUT-00103	present
MGYG-HGUT-00104	present
MGYG-HGUT-00105	present
MGYG-HGUT-00106	present
MGYG-HGUT-00107	present
MGYG-HGUT-00108	present
MGYG-HGUT-00109	present
MGYG-HGUT-00110	present
MGYG-HGUT-00111	absent
MGYG-HGUT-00112	present
MGYG-HGUT-00113	present
MGYG-HGUT-00114	present
MGYG-HGUT-00115	present
MGYG-HGUT-00116	present
MGYG-HGUT-00117	absent
MGYG-HGUT-00118	present
MGYG-HGUT-00119	present
MGYG-HGUT-00120	absent
MGYG-HGUT-00121	present
MGYG-HGUT-00122	present
MGYG-HGUT-00123	absent
MGYG-HGUT-00124	present
MGYG-HGUT-00125	present
MGYG-HGUT-00126	absent
MGYG-HGUT-00127	present
MGYG-HGUT-00128	absent
MGYG-HGUT-00129	absent
MGYG-HGUT-00130	present
MGYG-HGUT-00131	absent
MGYG-HGUT-00132	present
MGYG-HGUT-00133	absent
MGYG-HGUT-00134	absent
MGYG-HGUT-00135	present
MGYG-HGUT-00136	absent
MGYG-HGUT-00137	absent
MGYG-HGUT-00138	absent
MGYG-HGUT-00139	absent
MGYG-HGUT-00140	absent
MGYG-HGUT-00141	absent
MGYG-HGUT-00142	absent
MGYG-HGUT-00143	present
MGYG-HGUT-00144	absent
MGYG-HGUT-00145	present
MGYG-HGUT-00146	absent
MGYG-HGUT-00147	present
MGYG-HGUT-00148	absent
MGYG-HGUT-00149	absent
MGYG-HGUT-00150	absent
MGYG-HGUT-00151	present
MGYG-HGUT-00152	present
MGYG-HGUT-00153	absent
MGYG-HGUT-00154	absent
MGYG-HGUT-00155	present
MGYG-HGUT-00156	present
MGYG-HGUT-00157	present
MGYG-HGUT-00158	present
MGYG-HGUT-00159	absent
MGYG-HGUT-00160	present
MGYG-HGUT-00161	present
MGYG-HGUT-00162	present
MGYG-HGUT-00163	present
MGYG-HGUT-00164	absent
MGYG-HGUT-00165	present
MGYG-HGUT-00166	present
MGYG-HGUT-00167	present
MGYG-HGUT-00168	present
MGYG-HGUT-00169	absent
MGYG-HGUT-00170	present
MGYG-HGUT-00171	absent
MGYG-HGUT-00172	present
MGYG-HGUT-00173	present
MGYG-HGUT-00174	present
MGYG-HGUT-00175	present
MGYG-HGUT-00176	present
MGYG-HGUT-00177	present
MGYG-HGUT-00178	present
MGYG-HGUT-00179	absent
MGYG-HGUT-00180	present
MGYG-HGUT-00181	absent
MGYG-HGUT-00182	present
MGYG-HGUT-00183	absent
MGYG-HGUT-00184	absent
MGYG-HGUT-00185	present
MGYG-HGUT-00186	absent
MGYG-HGUT-00187	absent
MGYG-HGUT-00188	present
MGYG-HGUT-00189	absent
MGYG-HGUT-00190	absent
MGYG-HGUT-00191	present
MGYG-HGUT-00192	absent
MGYG-HGUT-00193	absent
MGYG-HGUT-00194	absent
MGYG-HGUT-00195	absent
MGYG-HGUT-00196	present
MGYG-HGUT-00197	present
MGYG-HGUT-00198	absent
MGYG-HGUT-00199	present
MGYG-HGUT-00200	present
MGYG-HGUT-00201	absent
MGYG-HGUT-00202	absent
MGYG-HGUT-00203	present
MGYG-HGUT-00204	absent
MGYG-HGUT-00205	present
MGYG-HGUT-00206	absent
MGYG-HGUT-00207	present
MGYG-HGUT-00208	absent
MGYG-HGUT-00209	absent
MGYG-HGUT-00210	present
MGYG-HGUT-00211	present
MGYG-HGUT-00212	absent
MGYG-HGUT-00213	present
MGYG-HGUT-00214	absent
MGYG-HGUT-00215	absent
MGYG-HGUT-00216	absent
MGYG-HGUT-00217	absent
MGYG-HGUT-00218	present
MGYG-HGUT-00219	present
MGYG-HGUT-00220	absent
MGYG-HGUT-00221	absent
MGYG-HGUT-00222	absent
MGYG-HGUT-00223	absent
MGYG-HGUT-00224	absent
MGYG-HGUT-00225	present
